model_name,model_id,vendor,context_length,input_price_usd_per_m,output_price_usd_per_m,avg_cost,quadrant,value_score,description
Qwen: Qwen-Turbo,qwen/qwen-turbo,qwen,1000000,0.05,0.2,0.125,Low Cost / High Context,8000000.0,"Qwen-Turbo, based on Qwen2.5, is a 1M context model that provides fast speed and low cost, suitable for simple tasks."
Meta: Llama 3.2 3B Instruct,meta-llama/llama-3.2-3b-instruct,meta-llama,131072,0.02,0.02,0.02,Low Cost / High Context,6553600.0,"Llama 3.2 3B is a 3-billion-parameter multilingual large language model, optimized for advanced natural language processing tasks like dialogue generation, reasoning, and summarization. Designed with the latest transformer architecture, it supports eight languages, including English, Spanish, and Hindi, and is adaptable for additional languages.  Trained on 9 trillion tokens, the Llama 3.2 3B model excels in instruction-following, complex reasoning, and tool use. Its balanced performance makes it ideal for applications needing accuracy and efficiency in text generation across multilingual settings.  Click here for the [original model card](https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md).  Usage of this model is subject to [Meta's Acceptable Use Policy](https://www.llama.com/llama3/use-policy/)."
xAI: Grok 4 Fast,x-ai/grok-4-fast,x-ai,2000000,0.2,0.5,0.35,Low Cost / High Context,5714285.714285715,Grok 4 Fast is xAI's latest multimodal model with SOTA cost-efficiency and a 2M token context window. It comes in two flavors: non-reasoning and reasoning. Read more about the model on xAI's [news post](http://x.ai/news/grok-4-fast). Reasoning can be enabled using the `reasoning` `enabled` parameter in the API. [Learn more in our docs](https://openrouter.ai/docs/use-cases/reasoning-tokens#controlling-reasoning-tokens)
Google: Gemini 2.0 Flash Lite,google/gemini-2.0-flash-lite-001,google,1048576,0.07,0.3,0.185,Low Cost / High Context,5667978.378378378,"Gemini 2.0 Flash Lite offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5), all at extremely economical token prices."
Meta: Llama 3.1 8B Instruct,meta-llama/llama-3.1-8b-instruct,meta-llama,131072,0.02,0.03,0.025,Low Cost / High Context,5242880.0,"Meta's latest class of model (Llama 3.1) launched with a variety of sizes & flavors. This 8B instruct-tuned version is fast and efficient.  It has demonstrated strong performance compared to leading closed-source models in human evaluations.  To read more about the model release, [click here](https://ai.meta.com/blog/meta-llama-3-1/). Usage of this model is subject to [Meta's Acceptable Use Policy](https://llama.meta.com/llama3/use-policy/)."
Mistral: Mistral Nemo,mistralai/mistral-nemo,mistralai,131072,0.02,0.04,0.03,Low Cost / High Context,4369066.666666667,"A 12B parameter model with a 128k token context length built by Mistral in collaboration with NVIDIA.  The model is multilingual, supporting English, French, German, Spanish, Italian, Portuguese, Chinese, Japanese, Korean, Arabic, and Hindi.  It supports function calling and is released under the Apache 2.0 license."
Google: Gemini 2.5 Flash Lite Preview 09-2025,google/gemini-2.5-flash-lite-preview-09-2025,google,1048576,0.1,0.4,0.25,Low Cost / High Context,4194304.0,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra-low latency and cost efficiency. It offers improved throughput, faster token generation, and better performance across common benchmarks compared to earlier Flash models. By default, ""thinking"" (i.e. multi-pass reasoning) is disabled to prioritize speed, but developers can enable it via the [Reasoning API parameter](https://openrouter.ai/docs/use-cases/reasoning-tokens) to selectively trade off cost for intelligence. "
Google: Gemini 2.5 Flash Lite Preview 06-17,google/gemini-2.5-flash-lite-preview-06-17,google,1048576,0.1,0.4,0.25,Low Cost / High Context,4194304.0,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra-low latency and cost efficiency. It offers improved throughput, faster token generation, and better performance across common benchmarks compared to earlier Flash models. By default, ""thinking"" (i.e. multi-pass reasoning) is disabled to prioritize speed, but developers can enable it via the [Reasoning API parameter](https://openrouter.ai/docs/use-cases/reasoning-tokens) to selectively trade off cost for intelligence. "
Google: Gemini 2.0 Flash,google/gemini-2.0-flash-001,google,1048576,0.1,0.4,0.25,Low Cost / High Context,4194304.0,"Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5). It introduces notable enhancements in multimodal understanding, coding capabilities, complex instruction following, and function calling. These advancements come together to deliver more seamless and robust agentic experiences."
Google: Gemini 2.5 Flash Lite,google/gemini-2.5-flash-lite,google,1048576,0.1,0.4,0.25,Low Cost / High Context,4194304.0,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra-low latency and cost efficiency. It offers improved throughput, faster token generation, and better performance across common benchmarks compared to earlier Flash models. By default, ""thinking"" (i.e. multi-pass reasoning) is disabled to prioritize speed, but developers can enable it via the [Reasoning API parameter](https://openrouter.ai/docs/use-cases/reasoning-tokens) to selectively trade off cost for intelligence. "
OpenAI: GPT-4.1 Nano,openai/gpt-4.1-nano,openai,1047576,0.1,0.4,0.25,Low Cost / High Context,4190304.0,"For tasks that demand low latency, GPT‑4.1 nano is the fastest and cheapest model in the GPT-4.1 series. It delivers exceptional performance at a small size with its 1 million token context window, and scores 80.1% on MMLU, 50.3% on GPQA, and 9.8% on Aider polyglot coding – even higher than GPT‑4o mini. It’s ideal for tasks like classification or autocompletion."
Mistral: Ministral 3B,mistralai/ministral-3b,mistralai,131072,0.04,0.04,0.04,Low Cost / High Context,3276800.0,"Ministral 3B is a 3B parameter model optimized for on-device and edge computing. It excels in knowledge, commonsense reasoning, and function-calling, outperforming larger models like Mistral 7B on most benchmarks. Supporting up to 128k context length, it’s ideal for orchestrating agentic workflows and specialist tasks with efficient inference."
Meta: Llama 4 Maverick,meta-llama/llama-4-maverick,meta-llama,1048576,0.15,0.6,0.375,Low Cost / High Context,2796202.6666666665,"Llama 4 Maverick 17B Instruct (128E) is a high-capacity multimodal language model from Meta, built on a mixture-of-experts (MoE) architecture with 128 experts and 17 billion active parameters per forward pass (400B total). It supports multilingual text and image input, and produces multilingual text and code output across 12 supported languages. Optimized for vision-language tasks, Maverick is instruction-tuned for assistant-like behavior, image reasoning, and general-purpose multimodal interaction.  Maverick features early fusion for native multimodality and a 1 million token context window. It was trained on a curated mixture of public, licensed, and Meta-platform data, covering ~22 trillion tokens, with a knowledge cutoff in August 2024. Released on April 5, 2025 under the Llama 4 Community License, Maverick is suited for research and commercial applications requiring advanced multimodal understanding and high model throughput."
Amazon: Nova Lite 1.0,amazon/nova-lite-v1,amazon,300000,0.06,0.24,0.15,Low Cost / High Context,2000000.0,"Amazon Nova Lite 1.0 is a very low-cost multimodal model from Amazon that focused on fast processing of image, video, and text inputs to generate text output. Amazon Nova Lite can handle real-time customer interactions, document analysis, and visual question-answering tasks with high accuracy.  With an input context of 300K tokens, it can analyze multiple images or up to 30 minutes of video in a single input."
OpenAI: GPT-5 Nano,openai/gpt-5-nano,openai,400000,0.05,0.4,0.225,Low Cost / High Context,1777777.7777777778,"GPT-5-Nano is the smallest and fastest variant in the GPT-5 system, optimized for developer tools, rapid interactions, and ultra-low latency environments. While limited in reasoning depth compared to its larger counterparts, it retains key instruction-following and safety features. It is the successor to GPT-4.1-nano and offers a lightweight option for cost-sensitive or real-time applications."
Meta: Llama 4 Scout,meta-llama/llama-4-scout,meta-llama,327680,0.08,0.3,0.19,Low Cost / High Context,1724631.5789473683,"Llama 4 Scout 17B Instruct (16E) is a mixture-of-experts (MoE) language model developed by Meta, activating 17 billion parameters out of a total of 109B. It supports native multimodal input (text and image) and multilingual output (text and code) across 12 supported languages. Designed for assistant-style interaction and visual reasoning, Scout uses 16 experts per forward pass and features a context length of 10 million tokens, with a training corpus of ~40 trillion tokens.  Built for high efficiency and local or commercial deployment, Llama 4 Scout incorporates early fusion for seamless modality integration. It is instruction-tuned for use in multilingual chat, captioning, and image understanding tasks. Released under the Llama 4 Community License, it was last trained on data up to August 2024 and launched publicly on April 5, 2025."
Qwen: Qwen3 Coder 30B A3B Instruct,qwen/qwen3-coder-30b-a3b-instruct,qwen,262144,0.06,0.25,0.155,Low Cost / High Context,1691251.612903226,"Qwen3-Coder-30B-A3B-Instruct is a 30.5B parameter Mixture-of-Experts (MoE) model with 128 experts (8 active per forward pass), designed for advanced code generation, repository-scale understanding, and agentic tool use. Built on the Qwen3 architecture, it supports a native context length of 256K tokens (extendable to 1M with Yarn) and performs strongly in tasks involving function calls, browser use, and structured code completion.  This model is optimized for instruction-following without “thinking mode”, and integrates well with OpenAI-compatible tool-use formats. "
DeepSeek: R1 Distill Llama 70B,deepseek/deepseek-r1-distill-llama-70b,deepseek,131072,0.03,0.13,0.08,Low Cost / High Context,1638400.0,"DeepSeek R1 Distill Llama 70B is a distilled large language model based on [Llama-3.3-70B-Instruct](/meta-llama/llama-3.3-70b-instruct), using outputs from [DeepSeek R1](/deepseek/deepseek-r1). The model combines advanced distillation techniques to achieve high performance across multiple benchmarks, including:  - AIME 2024 pass@1: 70.0 - MATH-500 pass@1: 94.5 - CodeForces Rating: 1633  The model leverages fine-tuning from DeepSeek R1's outputs, enabling competitive performance comparable to larger frontier models."
OpenAI: gpt-oss-20b,openai/gpt-oss-20b,openai,131072,0.03,0.14,0.085,Low Cost / High Context,1542023.5294117646,"gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. It uses a Mixture-of-Experts (MoE) architecture with 3.6B active parameters per forward pass, optimized for lower-latency inference and deployability on consumer or single-GPU hardware. The model is trained in OpenAI’s Harmony response format and supports reasoning level configuration, fine-tuning, and agentic capabilities including function calling, tool use, and structured outputs."
Qwen: Qwen3 30B A3B Thinking 2507,qwen/qwen3-30b-a3b-thinking-2507,qwen,262144,0.09,0.3,0.195,Low Cost / High Context,1344328.205128205,"Qwen3-30B-A3B-Thinking-2507 is a 30B parameter Mixture-of-Experts reasoning model optimized for complex tasks requiring extended multi-step thinking. The model is designed specifically for “thinking mode,” where internal reasoning traces are separated from final answers.  Compared to earlier Qwen3-30B releases, this version improves performance across logical reasoning, mathematics, science, coding, and multilingual benchmarks. It also demonstrates stronger instruction following, tool use, and alignment with human preferences. With higher reasoning efficiency and extended output budgets, it is best suited for advanced research, competitive problem solving, and agentic applications requiring structured long-context reasoning."
NVIDIA: Nemotron Nano 9B V2,nvidia/nemotron-nano-9b-v2,nvidia,131072,0.04,0.16,0.1,Low Cost / High Context,1310720.0,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and designed as a unified model for both reasoning and non-reasoning tasks. It responds to user queries and tasks by first generating a reasoning trace and then concluding with a final response.   The model's reasoning capabilities can be controlled via a system prompt. If the user prefers the model to provide its final answer without intermediate reasoning traces, it can be configured to do so."
Mistral: Ministral 8B,mistralai/ministral-8b,mistralai,131072,0.1,0.1,0.1,Low Cost / High Context,1310720.0,"Ministral 8B is an 8B parameter model featuring a unique interleaved sliding-window attention pattern for faster, memory-efficient inference. Designed for edge use cases, it supports up to 128k context length and excels in knowledge and reasoning tasks. It outperforms peers in the sub-10B category, making it perfect for low-latency, privacy-first applications."
